Ref;Quantity;Value;Mfr.Part #;LCSC #;Price (unit);Ext. Price;Price subtot;Link
LS1;1;Speaker 30/70mm 8ohm 5W;NA;NA;"1,205";0;"1,205";https://fr.aliexpress.com/item/4000127737256.html?spm=a2g0o.productlist.0.0.1ce15747xzW5wC&algo_pvid=f4c15237-dbbe-44fa-9cb5-75a20276f8e5&algo_exp_id=f4c15237-dbbe-44fa-9cb5-75a20276f8e5-28
"C1, C3, C5";3;100nF C_TH_Disc;CC1H104ZA1AD3F5O10MF;C254087;;;;
C4;1;1000uF 10x17x5 mm 16V;KM108M025G17RR0VH2FP0;C10750;;;;
"C2, C7";2;10uF 5x11x2;KF100M025C110A;C62930;;;;
R1;1;470k Radial 1/4W;MF1/4W-470KΩ±1%T52;C714046;;;;
R2;1;10 Radial 1/4W;MFR0W4F100JA50;C57437;;;;
U1;1;LM386-4;LM386L-D08-T;C87306;;;;
RV1;1;RK09K 10K;RK09K1130A5R;C209779;;;;
J2;1;IDC-10;Z-231011010106;C221045;;;;
J1;1;PJ398SM;NA;NA;;;;
